# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalDirectByteBuffersBytes,1756310017108000000,1756310075499000000,366253093
JVM.totalTimeToSafepointsMs,1756310017108000000,1756310075499000000,640
JVM.usedNativeBytes,1756310017108000000,1756310075499000000,222246912
JVM.totalTimeAtSafepointsMs,1756310017108000000,1756310075499000000,1280
JVM.totalSafepointCount,1756310017108000000,1756310075499000000,122
JVM.maxHeapBytes,1756310017108000000,1756310075499000000,5800722432
JVM.totalCpuTimeMs,1756310017108000000,1756310075499000000,72150
OS.loadAverage,1756310017108000000,1756310075499000000,8.78173828125
MEM.ramPlusSwapMinusFileMappingsBytes,1756310017108000000,1756310075499000000,1377480704
JVM.GC.collections,1756310017108000000,1756310075499000000,30
JVM.newThreadsCount,1756310017108000000,1756310075499000000,116
JVM.threadCount,1756310017108000000,1756310075499000000,100
JVM.GC.collectionTimesMs,1756310017108000000,1756310075499000000,1078
JVM.committedHeapBytes,1756310017108000000,1756310075499000000,654311424
MEM.fileMappingsRamBytes,1756310017108000000,1756310075499000000,359464960
JVM.maxThreadCount,1756310017108000000,1756310075499000000,100
JVM.totalBytesAllocated,1756310017108000000,1756310075499000000,1179414920
MEM.ramBytes,1756310017108000000,1756310075499000000,1736945664
MEM.ramMinusFileMappingsBytes,1756310017108000000,1756310075499000000,1377480704
JVM.usedHeapBytes,1756310017108000000,1756310075499000000,271223784
cacheStateStorage.set.counter,1756310017108000000,1756310075499000000,2
cacheStateStorage.set.duration,1756310017108000000,1756310075499000000,79
cacheStateStorage.get.counter,1756310017108000000,1756310075499000000,11
cacheStateStorage.get.duration,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.instances.count,1756310017108000000,1756310075499000000,1
workspaceModel.on.changed.ms,1756310017108000000,1756310075499000000,284
workspaceModel.cachedValueWithParameters.from.cache.count,1756310017108000000,1756310075499000000,0
workspaceModel.cachedValueWithParameters.clear.count,1756310017108000000,1756310075499000000,0
workspaceModel.loading.total.ms,1756310017108000000,1756310075499000000,397
workspaceModel.full.replace.project.model.ms,1756310017108000000,1756310075499000000,324
workspaceModel.cachedValue.clear.count,1756310017108000000,1756310075499000000,0
workspaceModel.check.recursive.update.ms,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1756310017108000000,1756310075499000000,79
workspaceModel.cachedValue.total.get.count,1756310017108000000,1756310075499000000,56
workspaceModel.entityStorageSnapshotImpl.instances.count,1756310017108000000,1756310075499000000,28
workspaceModel.cachedValue.from.cache.count,1756310017108000000,1756310075499000000,37
workspaceModel.workspaceFileIndexData.processFileSets.ms,1756310017108000000,1756310075499000000,0
workspaceModel.updates.ms,1756310017108000000,1756310075499000000,278
workspaceModel.collect.changes.ms,1756310017108000000,1756310075499000000,0
workspaceModel.update.unloaded.entities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.updates.precise.ms,1756310017108000000,1756310075499000000,18
workspaceModel.cachedValueWithParameters.calculated.count,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1756310017108000000,1756310075499000000,0
workspaceModel.pre.handlers.ms,1756310017108000000,1756310075499000000,3
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1756310017108000000,1756310075499000000,542
workspaceModel.updates.count,1756310017108000000,1756310075499000000,7
workspaceModel.loading.from.cache.ms,1756310017108000000,1756310075499000000,380
workspaceModel.init.bridges.ms,1756310017108000000,1756310075499000000,6
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.init.ms,1756310017108000000,1756310075499000000,35
workspaceModel.on.before.changed.ms,1756310017108000000,1756310075499000000,234
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1756310017108000000,1756310075499000000,51
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1756310017108000000,1756310075499000000,23
workspaceModel.cachedValue.calculated.count,1756310017108000000,1756310075499000000,19
workspaceModel.to.snapshot.ms,1756310017108000000,1756310075499000000,1
workspaceModel.replace.project.model.ms,1756310017108000000,1756310075499000000,0
workspaceModel.initializing.ms,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1756310017108000000,1756310075499000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsReadDecompressed,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsRead,1756310017108000000,1756310075499000000,0
VFS.fileByIdCache.misses,1756310017108000000,1756310075499000000,0
VFS.fileChildByName,1756310017108000000,1756310075499000000,8042
FileNameCache.totalMisses,1756310017108000000,1756310075499000000,0
VFS.invertedFileNameIndex.requests,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsStored,1756310017108000000,1756310075499000000,76
VFS.fileByIdCache.hits,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsReadSize,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsStoredSize,1756310017108000000,1756310075499000000,1541773
VFS.folderCaseSensitivityReads,1756310017108000000,1756310075499000000,726
VFS.contentStorage.recordsUncompressedSize,1756310017108000000,1756310075499000000,2966362
VFS.contentStorage.recordsStoredCompressed,1756310017108000000,1756310075499000000,37
FileNameCache.queries,1756310017108000000,1756310075499000000,69376
VFS.contentStorage.recordsDeduplicated,1756310017108000000,1756310075499000000,12
Indexing.writer_1.totalTimeSpentWritingMs,1756310017108000000,1756310075499000000,0
Indexing.writesQueuedMin,1756310017108000000,1756310075499000000,0
Indexing.cache.totalCacheEvicted,1756310017108000000,1756310075499000000,0
Indexing.cache.totalCacheMisses,1756310017108000000,1756310075499000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1756310017108000000,1756310075499000000,0
Indexing.writesQueuedAvg,1756310017108000000,1756310075499000000,0.0
Indexing.totalTimeIndexersSleptMs,1756310017108000000,1756310075499000000,0
Indexing.cache.totalCacheAccesses,1756310017108000000,1756310075499000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1756310017108000000,1756310075499000000,0
Indexing.writesQueuedMax,1756310017108000000,1756310075499000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1756310017108000000,1756310075499000000,0
writeAction.count,1756310017108000000,1756310075499000000,22
DiskQueryRelay.taskExecutionTotalTimeUs,1756310017108000000,1756310075499000000,23658105
writeAction.max.wait.ms,1756310017108000000,1756310075499000000,1939
parser.JSON.size.bytes,1756310017108000000,1756310075499000000,3203
parser.JSON.time.ns,1756310017108000000,1756310075499000000,171134288
writeAction.median.wait.ms,1756310017108000000,1756310075499000000,2300
lexer.JSON.size.bytes,1756310017108000000,1756310075499000000,3203
writeAction.wait.ms,1756310017108000000,1756310075499000000,2458
DiskQueryRelay.tasksRequested,1756310017108000000,1756310075499000000,1332
DiskQueryRelay.taskWaitingTotalTimeUs,1756310017108000000,1756310075499000000,23859319
lexer.JSON.time.ns,1756310017108000000,1756310075499000000,2573050
DiskQueryRelay.tasksExecuted,1756310017108000000,1756310075499000000,1332
NonBlockingReadAction.finalizedExecutionsCount,1756310017108000000,1756310075499000000,9
FlushQueue.executionTime90PNs,1756310017108000000,1756310075499000000,48234495
FlushQueue.waitingTimeAvgNs,1756310017108000000,1756310075499000000,4.337689520522876E8
FlushQueue.executionTimeMaxNs,1756310017108000000,1756310075499000000,1476395007
FlushQueue.tasksExecuted,1756310017108000000,1756310075499000000,153
WriteAction.executionsCount,1756310017108000000,1756310075499000000,22
NonBlockingReadAction.finalizedExecutionTimeUs,1756310017108000000,1756310075499000000,1187123
ReadAction.executionsCount,1756310017108000000,1756310075499000000,17182
FlushQueue.queueSizeAvg,1756310017108000000,1756310075499000000,3.9084967320261437
AWTEventQueue.eventsDispatched,1756310017108000000,1756310075499000000,229
AWTEventQueue.dispatchTimeAvgNs,1756310017108000000,1756310075499000000,4.084162962445415E7
FlushQueue.waitingTime90PNs,1756310017108000000,1756310075499000000,1073741823
NonBlockingReadAction.failedExecutionTimeUs,1756310017108000000,1756310075499000000,709952
AWTEventQueue.dispatchTimeMaxNs,1756310017108000000,1756310075499000000,2650800127
AWTEventQueue.dispatchTimeTotalNS,1756310017108000000,1756310075499000000,9357868675
FlushQueue.executionTimeAvgNs,1756310017108000000,1756310075499000000,3.8169737150326796E7
FlushQueue.queueSizeMax,1756310017108000000,1756310075499000000,22
FlushQueue.queueSize90P,1756310017108000000,1756310075499000000,12
NonBlockingReadAction.failedExecutionsCount,1756310017108000000,1756310075499000000,3
AWTEventQueue.dispatchTime90PNs,1756310017108000000,1756310075499000000,38535167
FlushQueue.waitingTimeMaxNs,1756310017108000000,1756310075499000000,3976200191
workspaceModel.moduleBridge.update.option.ms,1756310017108000000,1756310075499000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1756310017108000000,1756310075499000000,3
jps.apply.loaded.storage.ms,1756310017108000000,1756310075499000000,399
jps.reload.project.entities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.do.save.caches.ms,1756310017108000000,1756310075499000000,1411
workspaceModel.moduleBridge.before.changed.ms,1756310017108000000,1756310075499000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.entities.ms,1756310017108000000,1756310075499000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1756310017108000000,1756310075499000000,0
jps.global.initialize.library.bridges.after.loading.ms,1756310017108000000,1756310075499000000,12
workspaceModel.sync.entities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1756310017108000000,1756310075499000000,168
jps.artifact.entities.serializer.load.entities.ms,1756310017108000000,1756310075499000000,0
jps.module.iml.entities.serializer.save.entities.ms,1756310017108000000,1756310075499000000,0
jps.global.handle.before.change.events.ms,1756310017108000000,1756310075499000000,0
workspaceModel.load.cache.from.file.ms,1756310017108000000,1756310075499000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1756310017108000000,1756310075499000000,0
jps.library.entities.serializer.load.entities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.save.cache.to.file.ms,1756310017108000000,1756310075499000000,1364
jps.load.initial.state.ms,1756310017108000000,1756310075499000000,48
jps.global.get.library.ms,1756310017108000000,1756310075499000000,0
jps.module.iml.entities.serializer.load.entities.ms,1756310017108000000,1756310075499000000,467
jps.global.get.libraries.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1756310017108000000,1756310075499000000,12
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1756310017108000000,1756310075499000000,36
workspaceModel.mutableEntityStorage.modify.entity.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1756310017108000000,1756310075499000000,22
workspaceModel.global.updates.count,1756310017108000000,1756310075499000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1756310017108000000,1756310075499000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1756310017108000000,1756310075499000000,95
jps.global.get.library.by.name.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1756310017108000000,1756310075499000000,0
jps.global.handle.changed.events.ms,1756310017108000000,1756310075499000000,0
workspaceModel.load.cache.metadata.from.file.ms,1756310017108000000,1756310075499000000,0
jps.facet.change.listener.process.change.events.ms,1756310017108000000,1756310075499000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1756310017108000000,1756310075499000000,0
jps.facet.change.listener.init.bridge.ms,1756310017108000000,1756310075499000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1756310017108000000,1756310075499000000,9
workspaceModel.moduleManagerBridge.load.module.ms,1756310017108000000,1756310075499000000,0
jps.storage.jps.conf.reader.load.component.ms,1756310017108000000,1756310075499000000,1322
workspaceModel.global.apply.state.to.project.ms,1756310017108000000,1756310075499000000,6
jps.library.entities.serializer.save.entities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1756310017108000000,1756310075499000000,3721
workspaceModel.mutableEntityStorage.add.entity.ms,1756310017108000000,1756310075499000000,616
workspaceModel.mutableEntityStorage.entities.by.source.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1756310017108000000,1756310075499000000,12
jps.artifact.entities.serializer.save.entities.ms,1756310017108000000,1756310075499000000,0
jps.app.storage.content.reader.load.component.ms,1756310017108000000,1756310075499000000,0
jps.project.serializers.save.ms,1756310017108000000,1756310075499000000,0
jps.load.project.to.empty.storage.ms,1756310017108000000,1756310075499000000,3135
jps.save.global.entities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1756310017108000000,1756310075499000000,2
workspaceModel.orphan.listener.update.ms,1756310017108000000,1756310075499000000,12
workspaceModel.delayed.project.synchronizer.sync.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.instances.count,1756310017108000000,1756310075499000000,41
jps.project.serializers.load.ms,1756310017108000000,1756310075499000000,787
workspaceModel.mutableEntityStorage.referrers.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1756310017108000000,1756310075499000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1756310017108000000,1756310075499000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1756310017108000000,1756310075499000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1756310017108000000,1756310075499000000,0
jps.global.initialize.library.bridges.ms,1756310017108000000,1756310075499000000,0
jps.facet.change.listener.before.change.events.ms,1756310017108000000,1756310075499000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1756310017108000000,1756310075499000000,0
jps.save.changed.project.entities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.global.updates.ms,1756310017108000000,1756310075499000000,9
FilePageCache.capacityInBytes,1756310017108000000,1756310075499000000,629145600
FilePageCache.maxRegisteredFiles,1756310017108000000,1756310075499000000,945
StorageLockContext.competingThreads.max,1756310017108000000,1756310075499000000,6
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1756310017108000000,1756310075499000000,72460
DirectByteBufferAllocator.reclaimed,1756310017108000000,1756310075499000000,3
StreamlinedBlobStorage.recordsRelocated,1756310017108000000,1756310075499000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1756310017108000000,1756310075499000000,1588355
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1756310017108000000,1756310075499000000,358612992
DirectByteBufferAllocator.disposed,1756310017108000000,1756310075499000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1756310017108000000,1756310075499000000,0
FilePageCache.pageLoads,1756310017108000000,1756310075499000000,345
DirectByteBufferAllocator.misses,1756310017108000000,1756310075499000000,342
MappedFileStorage.storages,1756310017108000000,1756310075499000000,10
FilePageCache.uncachedFileAccess,1756310017108000000,1756310075499000000,536
FilePageCache.pageFastCacheHits,1756310017108000000,1756310075499000000,16771
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1756310017108000000,1756310075499000000,18075
FilePageCache.disposedBuffers,1756310017108000000,1756310075499000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1756310017108000000,1756310075499000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1756310017108000000,1756310075499000000,0
StorageLockContext.competingThreads.90P,1756310017108000000,1756310075499000000,0
FilePageCache.totalPageLoadsUs,1756310017108000000,1756310075499000000,3401738
StreamlinedBlobStorage.recordsDeleted,1756310017108000000,1756310075499000000,1
MappedFileStorage.totalBytesMapped,1756310017108000000,1756310075499000000,177471488
StreamlinedBlobStorage.recordsAllocated,1756310017108000000,1756310075499000000,1024
FilePageCache.maxCacheSizeInBytes,1756310017108000000,1756310075499000000,358612992
MappedFileStorage.totalPagesMapped,1756310017108000000,1756310075499000000,10
DirectByteBufferAllocator.hits,1756310017108000000,1756310075499000000,3
FilePageCache.totalPageDisposalsUs,1756310017108000000,1756310075499000000,6785
FilePageCache.pageHits,1756310017108000000,1756310075499000000,0
StorageLockContext.competingThreads.avg,1756310017108000000,1756310075499000000,0.11403508771929824
JVM.totalDirectByteBuffersBytes,1756310075499000000,1756310133804000000,507232099
JVM.totalTimeToSafepointsMs,1756310075499000000,1756310133804000000,532
JVM.usedNativeBytes,1756310075499000000,1756310133804000000,331930480
JVM.totalTimeAtSafepointsMs,1756310075499000000,1756310133804000000,1888
JVM.totalSafepointCount,1756310075499000000,1756310133804000000,108
JVM.maxHeapBytes,1756310075499000000,1756310133804000000,5800722432
JVM.totalCpuTimeMs,1756310075499000000,1756310133804000000,102040
OS.loadAverage,1756310075499000000,1756310133804000000,16.9150390625
MEM.ramPlusSwapMinusFileMappingsBytes,1756310075499000000,1756310133804000000,1762791424
JVM.GC.collections,1756310075499000000,1756310133804000000,18
JVM.newThreadsCount,1756310075499000000,1756310133804000000,7
